"INDICATOR:","UNIT:","Status of indicator (existing, proposed).","Availability of data: Indicator/Signal/Potential","Qualitative indicator","Boolean indicator (yes/No)","Quantitative indicator","Temporal","Geographic","Recent year","EU","National","Regional/Cities","Products /  Companies","Description of the indicator/signal/potential","Methodological considerations","Required methodology","Headline","Societal Goals","Environmental","Economic","Social","Circularity","Agriculture","Forestry","Acquaculture","Secondary production systems","Waste and Circularity","Ecosystem conditions","Trade","Primary sectors","Stock","Processing/Manufacturing services","Users","Disposal/Cascading/Recycling/Reusing","Whole chain","SDG 1: No poverty","SDG 2: Zero hunger","SDG 3: Good health and well being","SDG 4: Quality education","SDG 5: Gender equality","SDG 6: Clean water and sanitation","SDG 7: Affordable and clean energy","SDG 8: Decent work and economic growth","SDG 9: Industry, innovation and infrastructure","SDG 10: Reduced inequalities","SDG 11: Sustainable cities and communities","SDG 12: Responsible consumption and production","SDG 13: Climate action","SDG 14: Life below water","SDG 15: Life on land","SDG 16: Peace, justice, and strong institutions","SDG 17: Partnerships for the goals","Source","Link to reference","Link to data"
"Government support to agricultural research and development (by sector) ","eur / inhabitant","Existing","indicator",NA,NA,"x","2004-2020","EU",2020,"x","x",NA,NA,"The indicator refers to th elevel of priority governments place on the public funding of R&D for agriculture.",NA,NA,NA,"SO1 Food and nutrition security",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Daily calorie supply per capita by source","kcal/capita/d and %","Existing","indicator",NA,NA,"x","2000-2018","EU",2018,"x","x",NA,NA,"the indicator shows the total daily calorie supply per capita and the split into calories from animal products and vegetal products. It should not be confused with the per capita consumption of those products (calorie consumption) as calorie supply includes also losses through food distribution and mismanagement",NA,"The supply data are based on the food balance sheets (FBS) available at FAOSTAT. Data sources are primarily FAO questionnaires, national publications available in the ESS Library and Country visits by statisticians involving discussions with national experts",NA,"SO1 Food and nutrition security",NA,NA,"x",NA,"X",NA,NA,NA,"X",NA,NA,NA,NA,NA,NA,NA,"X",NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Food purchasing power","%","Existing","indicator",NA,NA,"x","2000-2020","EU",2020,"x","x",NA,NA,"It refers to the Nominal expediture as percentage of GDP",NA,NA,NA,"SO1 Food and nutrition security",NA,"x","x",NA,"x",NA,"x","x",NA,NA,"x",NA,NA,NA,NA,NA,"x","x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Prevalence of moderate or severe food insecurity in the total population (yearly estimates)","%","Existing","indicator",NA,NA,"x","2015-2019","EU",2019,"x","x",NA,NA,"It is an stimate of the percentage of a country´s population that faces difficultires in accessing anough safe and nutritious food",NA,"The information is collected through direct interviews by asking people",NA,"SO1 Food and nutrition security",NA,NA,"x",NA,"x",NA,"x","x",NA,NA,NA,NA,NA,NA,"x",NA,NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Biomass directly consumed by EU citizens as food","1000 tonnes dry matter","Existing","indicator",NA,NA,"x","2008-2018","EU",2018,"x","x",NA,NA,"It considers all the biomass consumed, taking into account vegtal, andimal and fish food.",NA,NA,NA,"SO1 Food and nutrition security",NA,NA,"x",NA,"x",NA,"x","x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Total biomass supply for food purposes, including inputs","1000 tonnes dry matter","Existing","indicator",NA,NA,"x","2008-2019","EU",2018,"x","x",NA,NA,"The indicator reveals the total primary biomass used annually for food purposes. This includes plant-based food, the total plant biomass and primary fish biomass used to feed and bedding of animals or fish for food consumption.",NA,NA,NA,"SO1 Food and nutrition security",NA,NA,"x",NA,"x",NA,"x","x",NA,NA,NA,"x",NA,NA,"x",NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Agricultural factor income per annual work unit","index (2010=100)","Existing","indicator",NA,NA,"x","2001-2021","EU",2021,"x","x",NA,NA,"The indicator is a partial labour productivity measure of the agricultural sector. Different factors are considered, remunerate borrowed or rented factors of production + own production factors",NA,NA,NA,"SO1 Food and nutrition security",NA,"x","x",NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"New food products (by sector)",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security",NA,"x","x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"New food value chains (by sector)",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security",NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
"Average dietary energy supply adequacy",NA,"Proposed",NA,NA,NA,"x",NA,NA,NA,"x","x",NA,NA,NA,NA,NA,NA,"SO1 Food and nutrition security",NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"x",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"EU Bioeconomy Monitoring System","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en","https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en"
