INDICATOR:;UNIT:;Status of indicator (existing, proposed).;Availability of data: Indicator/Signal/Potential;Qualitative indicator;Boolean indicator (yes/No);Quantitative indicator;Temporal;Geographic;Recent year;EU;National;Regional/Cities;Products /  Companies;Methodological considerations;Required methodology;Headline;Societal Goals;Environmental;Economic;Social;Circularity;Agriculture;Forestry;Acquaculture;Secondary production systems;Waste and Circularity;Ecosystem conditions;Trade;Primary sectors;Stock;Processing/Manufacturing services;Users;Disposal/Cascading/Recycling/Reusing;Whole chain;SDG 1: No poverty;SDG 2: Zero hunger;SDG 3: Good health and well being;SDG 4: Quality education;SDG 5: Gender equality;SDG 6: Clean water and sanitation;SDG 7: Affordable and clean energy;SDG 8: Decent work and economic growth;SDG 9: Industry, innovation and infrastructure;SDG 10: Reduced inequalities;SDG 11: Sustainable cities and communities;SDG 12: Responsible consumption and production;SDG 13: Climate action;SDG 14: Life below water;SDG 15: Life on land;SDG 16: Peace, justice, and strong institutions;SDG 17: Partnerships for the goals;Source;Link to reference;Link to data
Government support to agricultural research and development (by sector) ;;Existing;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Daily calorie supply per capita by source;;Existing;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Food purchasing power;;Existing;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;x;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Prevalence of moderate or severe food insecurity in the total population (yearly estimates);;Existing;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Biomass directly consumed by EU citizens as food;;Existing;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Total biomass supply for food purposes, including inputs;;Existing;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Agricultural factor income per annual work unit;;Existing;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
New food products (by sector);;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;x;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
New food value chains (by sector);;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
Average dietary energy supply adequacy;;Proposed;;;;x;;;;x;x;;;;;;SO1 Food and nutrition security;;;x;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;;EU Bioeconomy Monitoring System;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en;https://knowledge4policy.ec.europa.eu/bioeconomy/monitoring_en
